Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,CaseSafeID,B2P Fiscal Year,latitude,longitude,Individuals Directly Served,Population Estimate 2000m
Rwanda - Kirwa - 1012699,Ruhango,Kirwa,1012699,Identified,Technical,006f100000dhyeVAAQ,2018,-2.22162,29.61977,827,4586
Rwanda - Kajeje - 1022230,Muhanga,Kajeje,1022230,Identified,Requested,0063Z00000hvy75QAA,2022,-1.971735,29.792433,300,
Rwanda - Nyaruhombo - 1009280,Huye,Nyaruhombo,1009280,Complete,In Service,006f100000aWV5fAAG,2023,-2.41201,29.67439,2373,5115
Rwanda - Birambo - 1037670,Gicumbi,Birambo,1037670,Under Construction,,0063Z00000pof1dQAA,2023,-1.58050327,30.13857133,500,
Rwanda - Ruharazi - 1009311,Nyaruguru,Ruharazi,1009311,Complete,In Service,006f100000asEzNAAU,2019,-2.77676167,29.62627167,,7393
Rwanda - Kamegeri - 1009316,Nyamagabe,Kamegeri,1009316,Cancelled,Technical,006f100000asFDPAA2,2018,-2.52444444,29.55333333,,5048
Rwanda - Bukinga - 1009317,Nyaruguru,Bukinga,1009317,Cancelled,Technical,006f100000asFErAAM,2019,-2.760833,29.488056,,5455
Rwanda - Runyombya - 1009313,Nyaruguru,Runyombya,1009313,Identified,Identified in Needs Assessment,006f100000asF27AAE,2019,-2.77142,29.529766,5579,5513
Rwanda - Gihinga - 1009329,Gakenke,Gihinga,1009329,Identified,Local Investment,006f100000asYQDAA2,2019,-1.829439,29.882134,16300,5567
Rwanda - Mataba - 1022231,Muhanga,Mataba,1022231,Identified,Requested,0063Z00000hvy7AQAQ,2021,-1.976608,29.782109,500,
Rwanda - Nyaruvumu - 1007899,Nyanza,Nyaruvumu,1007899,Identified,Technical,006f100000aA0hfAAC,2019,-2.3381,29.6548,3000,3724
Rwanda - Kucyaruseke - RW127,Nyaruguru,Kucyaruseke,RW127,Complete,In Service,006f100000Zs7KqAAJ,2018,-2.711764,29.557267,3000,4923
Rwanda - Ruvumba - 1007621,Rulindo,Ruvumba,1007621,Identified,Vehicular Bridge Required,006f100000a86HZAAY,2019,-1.748844,29.951975,1000,5411
Rwanda - Ngarama - 1007622,Rulindo,Ngarama,1007622,Identified,Vehicular Bridge Required,006f100000a86HaAAI,2019,-1.692446,29.904097,1000,7740
Rwanda - Gasigwe - 1007360,Gakenke,Gasigwe,1007360,Identified,Technical,006f100000a86DMAAY,2018,-1.627777777,29.84055556,1302,7641
Rwanda - Ubumwe - 1007457,Nyagatare,Ubumwe,1007457,Identified,Technical,006f100000a86EvAAI,2019,-1.42439,30.26354,5487,6016
Rwanda - Nshuri - 1007458,Nyagatare,Nshuri,1007458,Identified,Identified in Needs Assessment,006f100000a86EwAAI,2019,-1.308813,30.314539,7453,2287
